1839,469897.0053,9496190.7850,45.2011,PG
1840,469903.4331,9496198.4449,44.9792,PG
1841,469908.7530,9496206.8933,44.7573,PG
1842,469913.3331,9496215.7828,44.5353,PG
1843,469917.9131,9496224.6723,44.3134,PG
1844,469922.4932,9496233.5618,44.0915,PG
1845,469926.9535,9496242.5093,43.8696,PG
1846,469929.9306,9496252.0384,43.6476,PG
1847,469930.9552,9496261.9690,43.4257,PG
1848,469930.1483,9496271.9286,43.2038,PG
1849,469928.9880,9496281.8611,42.9819,PG
1850,469927.8276,9496291.7935,42.7600,PG
1851,469926.7505,9496301.7341,42.5380,PG
1852,469927.1644,9496311.7089,42.3161,PG
1853,469928.5207,9496321.6165,42.0942,PG
1854,469929.8770,9496331.5241,41.8723,PG
1855,469931.2332,9496341.4317,41.6503,PG
1856,469932.5872,9496351.3396,41.4284,PG
1857,469933.3784,9496361.3041,41.2065,PG
1858,469933.1755,9496371.2981,40.9846,PG
1859,469932.5655,9496381.2794,40.8845,PG
1860,469931.9555,9496391.2608,40.7845,PG
1861,469931.3455,9496401.2422,40.6845,PG
1862,469930.7355,9496411.2236,40.5845,PG
1863,469930.0350,9496421.1989,40.4845,PG
1864,469929.3165,9496431.1731,40.3845,PG
1865,469928.5980,9496441.1472,40.2845,PG
1866,469927.8795,9496451.1214,40.1845,PG
1867,469927.1610,9496461.0955,40.0845,PG
1868,469926.4425,9496471.0697,39.9845,PG
1869,469925.7241,9496481.0439,39.8845,PG
1870,469923.8404,9496490.8043,39.7845,PG
1871,469918.0169,9496498.8278,39.6845,PG
1872,469909.7840,9496504.4923,39.5845,PG
1873,469901.4922,9496510.0779,39.4845,PG
1874,469895.1684,9496517.7311,39.3845,PG
1875,469892.4829,9496527.2888,39.2845,PG
1876,469893.8761,9496537.1221,39.1274,PG
1877,469897.0167,9496546.6160,38.9132,PG
1878,469901.1560,9496555.7177,38.6989,PG
1879,469905.3178,9496564.8106,38.4846,PG
1880,469910.0894,9496573.5939,38.2703,PG
1881,469914.9709,9496582.3215,38.0560,PG
1882,469919.8523,9496591.0492,37.8417,PG
1883,469924.7338,9496599.7768,37.6275,PG
1884,469929.6152,9496608.5044,37.4132,PG
1885,469934.9371,9496616.9670,37.1989,PG
1886,469940.3610,9496625.3683,37.0557,PG
1887,469945.7849,9496633.7696,36.9261,PG
1888,469952.0826,9496641.5363,36.7965,PG
1889,469958.3934,9496649.2934,36.6668,PG
1890,469964.7042,9496657.0506,36.5372,PG
1891,469971.0151,9496664.8078,36.4076,PG
1892,469977.3259,9496672.5649,36.2779,PG
1893,469983.6367,9496680.3221,36.1483,PG
1894,469989.9475,9496688.0792,36.0187,PG
1895,469996.2583,9496695.8364,35.8891,PG
1896,470002.5691,9496703.5936,35.7594,PG
1897,470008.8800,9496711.3507,35.6506,PG
1898,470015.4119,9496718.9193,35.5417,PG
1899,470022.0762,9496726.3750,35.4329,PG
1900,470028.7404,9496733.8307,35.3240,PG
1901,470035.4047,9496741.2864,35.2152,PG
1902,470042.0689,9496748.7422,35.1063,PG
1903,470048.7332,9496756.1979,34.9975,PG
1904,470054.8404,9496764.1124,33.4829,PG
1905,470060.7565,9496772.1715,31.9834,PG
1906,470066.4047,9496780.4236,30.4839,PG
1907,470072.0530,9496788.6757,28.9839,PG
1908,470077.7013,9496796.9278,27.4839,PG
1909,470083.3495,9496805.1799,25.9839,PG
1910,470089.2191,9496813.2746,24.4839,PG
1911,470095.1612,9496821.3177,23.2000,PG
1912,470101.1033,9496829.3608,23.4984,PG
